Source IP,Destination IP,Packet Size,Source Port,Destination Port,Protocol,Timestamp
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289164
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289164
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289165
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289165
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289165
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289166
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289166
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289166
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289166
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289167
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289167
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289168
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289168
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289168
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289169
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289169
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289169
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289169
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289170
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289170
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289171
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289171
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289171
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289171
/192.168.43.186,/197.230.70.19,78,56456,443,17 (UDP),1736094289171
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289172
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289172
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289172
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289172
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289172
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289172
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289173
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289173
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289173
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289173
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289174
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289174
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289174
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289174
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289174
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289175
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289175
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289175
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289175
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289176
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289176
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289176
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289176
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289177
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289177
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289178
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289310
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289311
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289312
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289312
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289317
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289317
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289317
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289317
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289317
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289318
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289318
/192.168.43.186,/197.230.70.19,75,56456,443,17 (UDP),1736094289318
/192.168.43.186,/197.230.70.19,75,56456,443,17 (UDP),1736094289318
/192.168.43.186,/197.230.70.19,75,56456,443,17 (UDP),1736094289320
/192.168.43.186,/197.230.70.19,75,56456,443,17 (UDP),1736094289320
/192.168.43.186,/142.250.185.14,4615,64902,443,6 (TCP),1736094289323
